season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2000,charlotte_hornets,46.0,36.0,0.5609756097560976,22.0,52.1,3.5999999999999996,10.299999999999999,18.5,41.8,12.0,15.6,6.800000000000001,17.9,24.599999999999998,18.700000000000003,5.800000000000001,2.0,9.1,11.7,59.60000000000001,151.2,0.44575,0.2605,0.4265,0.7735,0.45675000000000004,27.5
2001,charlotte_hornets,44.0,38.0,0.5365853658536586,22.9,55.2,4.4,12.399999999999999,18.6,42.7,11.9,15.399999999999999,6.0,16.3,22.300000000000004,17.6,5.0,2.0,8.7,9.899999999999999,62.2,149.6,0.44175000000000003,0.35133333333333333,0.4245,0.762,0.459,28.5
2014,charlotte_hornets,33.0,49.0,0.4024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015,charlotte_hornets,48.0,34.0,0.5853658536585366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016,charlotte_hornets,36.0,46.0,0.43902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017,charlotte_hornets,8.0,13.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2000,new_york_knicks,48.0,34.0,0.5853658536585366,22.3,49.7,2.5,7.6000000000000005,19.8,42.199999999999996,11.2,14.1,5.3999999999999995,19.9,25.2,8.5,3.6999999999999997,3.1,7.3999999999999995,10.999999999999998,58.3,142.0,0.47275,0.28075,0.4535,0.789,0.4785,29.0
2001,new_york_knicks,30.0,52.0,0.36585365853658536,24.6,55.8,3.6,9.6,21.0,46.3,12.0,15.3,6.9,20.3,27.199999999999996,8.6,3.9999999999999996,3.0,8.3,12.3,64.8,147.39999999999998,0.45475,0.22999999999999998,0.44575,0.783,0.4715,29.25
2002,new_york_knicks,37.0,45.0,0.45121951219512196,23.4,53.5,5.6000000000000005,14.5,17.799999999999997,39.0,9.5,11.3,3.2,13.600000000000001,16.9,14.600000000000001,4.0,1.7,8.0,11.0,62.0,135.70000000000002,0.45425000000000004,0.456,0.43700000000000006,0.82775,0.49325,30.75
2003,new_york_knicks,39.0,43.0,0.47560975609756095,24.599999999999998,55.6,4.1,10.7,20.6,44.800000000000004,12.3,14.5,5.1,16.0,21.1,15.000000000000002,4.0,1.5,9.4,11.100000000000001,65.8,140.5,0.46025000000000005,0.28125,0.446,0.85,0.48025,29.25
2004,new_york_knicks,33.0,49.0,0.4024390243902439,23.200000000000003,51.5,4.0,11.4,19.2,40.099999999999994,11.2,14.1,6.300000000000001,18.1,24.4,14.899999999999999,4.7,2.4,7.6000000000000005,11.299999999999999,61.8,142.2,0.47700000000000004,0.30374999999999996,0.46,0.79275,0.4925,27.5
2005,new_york_knicks,23.0,59.0,0.2804878048780488,18.099999999999998,41.099999999999994,3.3000000000000003,8.100000000000001,15.099999999999998,33.0,14.5,18.3,2.0,10.3,12.2,16.3,3.6,0.7,9.1,9.0,54.10000000000001,125.10000000000001,0.4525,0.42274999999999996,0.44225000000000003,0.7885,0.48150000000000004,28.5
2006,new_york_knicks,33.0,49.0,0.4024390243902439,23.2,51.5,5.4,15.5,17.9,36.2,14.6,20.299999999999997,4.8999999999999995,15.4,20.3,12.8,3.0999999999999996,0.7999999999999999,10.100000000000001,10.399999999999999,66.5,142.7,0.481,0.51325,0.45225,0.7285,0.50525,26.25
2007,new_york_knicks,23.0,59.0,0.2804878048780488,22.9,51.3,3.7,10.5,19.3,41.0,13.2,16.7,6.9,17.5,24.3,12.9,3.5,0.9000000000000001,8.3,9.600000000000001,62.900000000000006,135.0,0.4755,0.25225,0.45999999999999996,0.7927500000000001,0.49174999999999996,26.75
2008,new_york_knicks,32.0,50.0,0.3902439024390244,25.2,58.0,7.800000000000001,19.8,17.4,38.2,13.9,17.1,5.7,17.700000000000003,23.4,14.400000000000002,4.1000000000000005,0.7,9.6,8.4,71.9,142.7,0.454,0.37500000000000006,0.43325,0.8105,0.50475,27.25
2009,new_york_knicks,29.0,53.0,0.35365853658536583,23.9,49.8,2.9,8.4,21.0,41.4,11.5,14.499999999999998,9.4,23.5,33.0,8.5,3.1999999999999997,2.5999999999999996,6.999999999999999,11.8,62.3,140.0,0.49575,0.216,0.472,0.7987500000000001,0.50275,24.25
2010,new_york_knicks,42.0,40.0,0.5121951219512195,29.299999999999997,64.30000000000001,5.3999999999999995,14.9,23.9,49.400000000000006,20.5,24.099999999999998,5.7,17.5,23.3,16.3,4.4,3.1,10.1,11.3,84.60000000000001,146.2,0.48,0.3835,0.45025,0.8559999999999999,0.49724999999999997,25.5
